#Fluorescent yield data from Kaastra and Mewe 1993A&AS...97..443K
label    z  state  s   delta  il    E      omega
    1    5    1    1     0    1     183.7   0.0006
    2    5    1    1     1    5      16.9   0.7129
    3    5    1    2     0    5       4.6   1.0000
    4    6    1    1     0    1     276.8   0.0026
    5    6    1    1     1    5       6.5   1.3611
    6    6    1    2     0    5       5.3   1.0000
    7    6    2    1     0    1     281.6   0.0019
    8    6    2    1     1    5      23.5   0.6519
    9    6    2    2     0    5       6.5   1.0000
   10    7    1    1     0    1     388.5   0.0040
   11    7    1    1     0    2     388.5   0.0020
   12    7    1    1     1    5       7.1   0.5949
   13    7    1    1     1    6      22.2   0.2974
   14    7    1    2     0    5       5.8   0.6667
   15    7    1    2     0    6       5.8   0.3333
   16    7    2    1     0    1     396.4   0.0071
   17    7    2    1     1    5       8.4   1.3530
   18    7    2    2     0    5       7.1   1.0000
   19    7    3    1     0    1     400.6   0.0052
   20    7    3    1     1    5      30.1   0.6508
   21    7    3    2     0    5       8.4   1.0000
   22    8    1    1     0    1     524.3   0.0047
   23    8    1    1     0    2     524.3   0.0047
   24    8    1    1     1    5       7.5   0.3284
   25    8    1    1     1    6       7.5   0.3284
   26    8    1    2     0    5      14.9   0.5000
   27    8    1    2     0    6      14.9   0.5000
   28    8    2    1     0    1     529.9   0.0073
   29    8    2    1     0    2     529.9   0.0036
   30    8    2    1     1    5       8.9   0.5910
   31    8    2    1     1    6      28.7   0.2955
   32    8    2    2     0    5       7.5   0.6667
   33    8    2    2     0    6       7.5   0.3333
   34    8    3    1     0    1     537.2   0.0129
   35    8    3    1     1    5      10.2   1.3372
   36    8    3    2     0    5       8.9   1.0000
   37    8    4    1     0    1     540.6   0.0096
   38    8    4    1     1    5      36.5   0.6415
   39    8    4    2     0    5      10.2   1.0000
   40    9    1    1     0    1     676.6   0.0053
   41    9    1    1     0    2     676.6   0.0080
   42    9    1    1     1    5      18.8   0.2078
   43    9    1    1     1    6      18.8   0.3117
   44    9    1    2     0    5      20.4   0.4000
   45    9    1    2     0    6      20.4   0.6000
   46    9    2    1     0    1     689.0   0.0076
   47    9    2    1     0    2     689.0   0.0076
