# Source Verner, Barthel & Tytler 1994 A&AS 108, 287
H    1    1.0079400  12.00
He   2    4.0026020  10.99
Li   3    6.9410000   3.31
Be   4    9.0121820   1.42
B    5   10.8110000   2.88
C    6   12.0110000   8.56
N    7   14.0067400   8.05
O    8   15.9994000   8.93
F    9   18.9984032   4.48
Ne  10   20.1797000   8.09
Na  11   22.9897680   6.31
Mg  12   24.3050000   7.58
Al  13   26.9815390   6.48
Si  14   28.0855000   7.55
P   15   30.9737620   5.57
S   16   32.0660000   7.27
Cl  17   35.4527000   5.27
Ar  18   39.9480000   6.56
K   19   39.0983000   5.13
Ca  20   40.0780000   6.34
Sc  21   44.9559100   3.09
Ti  22   47.8800000   4.93
V   23   50.9415000   4.02
Cr  24   51.9961000   5.68
Mn  25   54.9380500   5.53
Fe  26   55.8470000   7.51
Co  27   58.9332000   4.91
Ni  28   58.6900000   6.25
Cu  29   63.5460000   4.27
Zn  30   65.3900000   4.65
Ga  31   69.7230000   3.13
Ge  32   72.6100000   3.63
As  33   74.9215900   2.37
Se  34   78.9600000   3.35
Br  35   79.9040000   2.63
Kr  36   83.8000000   3.23
Rb  37   85.4678000   2.40
Sr  38   87.6200000   2.93
Y   39   88.9058500   2.22
Zr  40   91.2240000   2.61
Nb  41   92.9063800   1.40
Mo  42   95.9400000   1.96
Ru  44  101.0700000   1.82
Rh  45  102.9055000   1.09
Pd  46  105.4200000   1.70
Ag  47  107.8682000   1.24
Cd  48  112.4110000   1.76
In  49  114.8200000   0.82
Sn  50  118.7100000   2.14
Sb  51  121.7500000   1.04
Te  52  127.6000000   2.24
I   53  126.9044700   1.51
Xe  54  131.2900000   2.23
Cs  55  132.9054300   1.12
Ba  56  137.3270000   2.21
La  57  138.9055000   1.20
Ce  58  140.1150000   1.61
Pr  59  140.9076500   0.78
Nd  60  144.2400000   1.47
Sm  62  150.3600000   0.97
Eu  63  151.9650000   0.54
Gd  64  157.2500000   1.07
Tb  65  158.9253400   0.33
Dy  66  162.5000000   1.15
Ho  67  164.9303200   0.50
Er  68  167.2600000   0.95
Tm  69  168.9342100   0.13
Yb  70  173.0400000   0.95
Lu  71  174.9670000   0.12
Hf  72  178.4900000   0.73
Ta  73  180.9479000   0.13
W   74  183.8500000   0.68
Re  75  186.2070000   0.27
Os  76  190.2000000   1.38
Ir  77  192.2200000   1.37
Pt  78  195.0800000   1.68
Au  79  196.9665400   0.83
Hg  80  200.5900000   1.09
Tl  81  204.3833000   0.82
Pb  82  207.2000000   2.05
Bi  83  208.9803700   0.71
Th  90  232.0381000   0.08
U   92  238.0289000  -0.49
