 ============================================================
      i NZ NE iSLP jSLP iLV jLV        gF     WL(A)   gi   gj
 ============================================================
      1  1  1  211  200   1   1  8.32E-01 1.216E+03  6.0  2.0
      2  1  1  211  200   1   2  0.00E+00 1.000E+30  6.0  2.0
      3  1  1  211  200   1   3 -8.15E-02 6.565E+03  6.0  2.0
      4  1  1  211  200   1   4 -1.83E-02 4.863E+03  6.0  2.0
      5  1  1  211  200   1   5 -7.28E-03 4.342E+03  6.0  2.0
      6  1  1  211  200   1   6 -3.71E-03 4.103E+03  6.0  2.0
      7  1  1  211  200   1   7 -2.17E-03 3.971E+03  6.0  2.0
      8  1  1  211  200   1   8 -1.38E-03 3.890E+03  6.0  2.0
      9  1  1  211  200   1   9 -9.42E-04 3.837E+03  6.0  2.0
     10  1  1  211  200   1  10 -6.71E-04 3.799E+03  6.0  2.0
     11  1  1  211  200   2   1  1.58E-01 1.026E+03  6.0  2.0
     12  1  1  211  200   2   2  8.70E-01 6.565E+03  6.0  2.0
     13  1  1  211  200   2   3  0.00E+00 1.000E+30  6.0  2.0
     14  1  1  211  200   2   4 -1.93E-01 1.876E+04  6.0  2.0
     15  1  1  211  200   2   5 -4.46E-02 1.282E+04  6.0  2.0
     16  1  1  211  200   2   6 -1.82E-02 1.094E+04  6.0  2.0
     17  1  1  211  200   2   7 -9.47E-03 1.005E+04  6.0  2.0
     18  1  1  211  200   2   8 -5.65E-03 9.549E+03  6.0  2.0
     19  1  1  211  200   2   9 -3.67E-03 9.232E+03  6.0  2.0
     20  1  1  211  200   2  10 -2.54E-03 9.017E+03  6.0  2.0
     21  1  1  211  200   3   1  5.80E-02 9.725E+02  6.0  2.0
     22  1  1  211  200   3   2  2.06E-01 4.863E+03  6.0  2.0
     23  1  1  211  200   3   3  9.69E-01 1.876E+04  6.0  2.0
     24  1  1  211  200   3   4  0.00E+00 1.000E+30  6.0  2.0
     25  1  1  211  200   3   5 -3.17E-01 4.052E+04  6.0  2.0
     26  1  1  211  200   3   6 -7.40E-02 2.626E+04  6.0  2.0
     27  1  1  211  200   3   7 -3.06E-02 2.166E+04  6.0  2.0
     28  1  1  211  200   3   8 -1.61E-02 1.945E+04  6.0  2.0
